"","population","individual","b","c","exposure_score","Individ_id"
"223","Eynhallow",78,0.999999999508873,0.996678999407556,27.555,"GBT-FP96078"
"224","Eynhallow",79,1.00000000019645,1.00815766832986,26.949,"GBT-FP96123"
"225","Eynhallow",8,1.00000000009459,1.00126442809582,26.4428,"GBT-FC28975"
"226","Eynhallow",80,0.999999999948614,1.00589482102783,27.3614,"GBT-FP96129"
"227","Eynhallow",81,0.999999999942247,0.996127515082253,27.354,"GBT-FP96139"
"228","Eynhallow",82,0.999999999684405,1.00057948210363,25.0035,"GBT-FP96147"
"229","Eynhallow",83,0.999999999874035,0.996758521683765,27.2209,"GBT-FP96151"
"230","Eynhallow",84,0.999999999706688,1.00008425372288,25.9432,"GBT-FP96152"
"231","Eynhallow",85,0.999999999537749,1.0016726250345,26.4736,"GBT-FP96155"
"232","Eynhallow",86,0.999999999961801,1.01537665486975,28.0265,"GBT-FP96156"
"233","Eynhallow",87,0.999999999458851,0.99587274641835,27.5002,"GBT-FP96157"
"234","Eynhallow",88,0.999999999792635,1.00428587666801,27.2788,"GBT-FP96158"
"235","Eynhallow",89,1.00000000029149,1.00457213062742,26.4747,"GBT-FP96159"
"236","Eynhallow",9,1.00000000024647,1.00577637393198,27.0093,"GBT-FC28999"
"237","Eynhallow",90,1.000000000005,0.9997827046356,25.9211,"GBT-FP96160"
"238","Eynhallow",91,1.00000000007276,1.00304848778283,26.8955,"GBT-FP96161"
"239","Eynhallow",92,0.999999999899501,1.00306205777983,27.7262,"GBT-FP96162"
"240","Eynhallow",93,0.999999999718057,1.00064777074815,26.5852,"GBT-FP96186"
"241","Eynhallow",94,1.00000000003229,0.996347889060849,27.7087,"GBT-FP96193"
"242","Eynhallow",95,1.00000000008004,1.0070804867497,27.1596,"GBT-FP96194"
"243","Eynhallow",96,0.999999999863576,0.998635422761583,24.241,"GBT-FP96195"
"244","Eynhallow",97,1.00000000017099,1.00128800506938,26.5843,"GBT-FP96196"
"245","Eynhallow",98,0.999999999637566,1.00814214400234,26.9409,"GBT-FP96197"
"246","Eynhallow",99,1.00000000021168,1.0040114740771,26.5773,"GBT-FP96199"
"247","Faroe.Islands",1,1.00000000034424,0.998210411529787,26.5446,"DKC-4074923"
"248","Faroe.Islands",10,0.999999999926331,0.997468753399286,24.3589,"DKC-4298255"
"249","Faroe.Islands",11,0.999999999979082,0.996204065681563,25.3738,"DKC-4298258"
"250","Faroe.Islands",12,1.00000000001046,0.995850754959683,22.6139,"DKC-4298263"
"251","Faroe.Islands",13,1.00000000019463,1.00083165700494,26.2179,"DKC-4F-3042"
"252","Faroe.Islands",14,0.999999999731244,0.997072035581282,26.9508,"DKC-4F0156"
"253","Faroe.Islands",15,1.00000000004684,0.996843789927327,24.4089,"DKC-4F0158"
"254","Faroe.Islands",16,1.00000000039563,0.998849409401285,25.1507,"DKC-4F0160"
"255","Faroe.Islands",17,0.999999999899501,0.995839675083539,24.6246,"DKC-4F0161"
"256","Faroe.Islands",18,1.00000000015052,0.995479259898051,26.1297,"DKC-4F0164"
"257","Faroe.Islands",19,0.99999999976535,0.99646687217388,26.4895,"DKC-4F0166"
"258","Faroe.Islands",2,1.00000000000091,1.00384322617843,27.2109,"DKC-4294430"
"259","Faroe.Islands",20,0.999999999926331,0.995300925833053,24.5128,"DKC-4F0167"
"260","Faroe.Islands",21,0.999999999720785,0.995903694804414,25.8865,"DKC-4F0168"
"261","Faroe.Islands",22,0.999999999900865,0.996602605404303,25.0449,"DKC-4F0169"
"262","Faroe.Islands",3,0.999999999818101,0.996089296250016,24.8243,"DKC-4294439"
"263","Faroe.Islands",4,0.999999999893816,0.99507807910971,26.3428,"DKC-4294440"
"264","Faroe.Islands",5,0.999999999885404,0.993990342111964,29.4227,"DKC-4294442"
"265","Faroe.Islands",6,0.999999999796046,0.995565556880856,25.585,"DKC-4294448"
"266","Faroe.Islands",7,0.999999999891315,0.998974113771944,27.5869,"DKC-4294450"
"267","Faroe.Islands",8,1.00000000006958,0.997088490140114,25.4512,"DKC-4298152"
"268","Faroe.Islands",9,0.999999999954525,0.996398786767226,23.3746,"DKC-4298251"
"269","Inishkea",1,0.999999999831743,0.998461564169338,25.9525,"GBT-FH15526"
"270","Inishkea",2,1.0000000002201,1.00182666466961,27.4713,"GBT-FH15698"
"271","Inishkea",3,0.99999999990996,1.00117709486025,27.3025,"GBT-FH78391"
"272","Inishkea",4,1.00000000045702,0.999677417253728,27.1135,"GBT-FH78393"
"273","Isle.of.Canna",1,0.999999999780357,0.995751537014952,27.318,"GBT-FH49405"
"274","Isle.of.Canna",2,1.00000000035652,1.00387918592427,26.7194,"GBT-FH49407"
"275","Isle.of.Canna",3,0.999999999831743,1.0000887943496,26.3371,"GBT-FH49494"
"276","Isle.of.Canna",4,1.00000000005912,0.997253382892812,26.6319,"GBT-FP29405"
"277","Isle.of.Canna",5,0.99999999990905,1.00121269711359,24.8061,"GBT-FP41256"
"278","Isle.of.Canna",6,0.999999999768988,0.996211588403976,25.4326,"GBT-FP48025"
"279","Isle.of.Canna",7,0.999999999825832,0.998723626279968,25.522,"GBT-FP48027"
"280","Isle.of.Canna",8,1.00000000034788,1.00497754326118,27.5719,"GBT-FP84411"
"281","Jan.Mayen",1,1.00000000008163,0.993763212999167,26.3254,"NOS-4181597"
"282","Jan.Mayen",10,1.00000000002638,0.989921881295296,23.0043,"NOS-4181611"
"283","Jan.Mayen",11,1.00000000015189,0.992909958900864,26.6253,"NOS-4181612"
"284","Jan.Mayen",12,1.00000000019054,0.992621358647816,25.1765,"NOS-4181614"
"285","Jan.Mayen",13,0.999999999758757,0.991986983125862,25.4328,"NOS-4181615"
"286","Jan.Mayen",14,0.999999999742613,0.991830189535365,25.4729,"NOS-4181617"
"287","Jan.Mayen",15,0.99999999978786,0.990365134070162,24.7699,"NOS-4181620"
"288","Jan.Mayen",16,1.0000000003854,0.992486605159001,25.0939,"NOS-4181621"
"289","Jan.Mayen",17,1.00000000002524,0.991975601524361,25.5201,"NOS-4181622"
"290","Jan.Mayen",18,0.999999999823558,0.991534415668588,24.295,"NOS-4181623"
"291","Jan.Mayen",19,1.00000000005184,0.995850059473186,25.2346,"NOS-4181624"
"292","Jan.Mayen",2,0.999999999937245,0.9913028268406,24.3505,"NOS-4181600"
"293","Jan.Mayen",20,1.00000000006526,0.994904352418786,25.2523,"NOS-4181625"
"294","Jan.Mayen",21,0.999999999993634,0.991602893998135,25.2747,"NOS-4181626"
"295","Jan.Mayen",22,0.999999999924512,0.994095108757191,22.8172,"NOS-4181627"
"296","Jan.Mayen",23,0.9999999996935,0.995106872633947,25.3948,"NOS-4181628"
"297","Jan.Mayen",24,0.99999999987881,0.993152360774244,26.1568,"NOS-4181629"
"298","Jan.Mayen",25,0.999999999882448,0.993864398190216,25.2699,"NOS-4181630"
"299","Jan.Mayen",26,1.00000000002319,0.991959736444164,26.5273,"NOS-4181631"
"300","Jan.Mayen",27,1.00000000014916,0.993239869974184,25.195,"NOS-4181632"
"301","Jan.Mayen",28,1.00000000001432,0.991964249193967,26.5003,"NOS-4181633"
"302","Jan.Mayen",29,1.00000000006912,0.991511989194444,24.7372,"NOS-4181634"
"303","Jan.Mayen",3,0.999999999758757,0.990476346627028,25.3534,"NOS-4181602"
"304","Jan.Mayen",30,0.999999999803094,0.992722953492523,25.5611,"NOS-4181636"
"305","Jan.Mayen",31,0.999999999840838,0.99506140147026,25.3852,"NOS-4181637"
"306","Jan.Mayen",32,0.999999999737611,0.990641209684723,24.3034,"NOS-4181638"
"307","Jan.Mayen",33,0.999999999878128,0.993164821878181,24.944,"NOS-4181639"
"308","Jan.Mayen",34,0.99999999980264,0.992908253371605,26.0584,"NOS-4181640"
"309","Jan.Mayen",35,0.999999999826514,0.992058636330473,24.0636,"NOS-4181641"
"310","Jan.Mayen",36,0.999999999995453,0.991928413376828,24.5525,"NOS-4181642"
"311","Jan.Mayen",37,1.00000000010141,0.993447866043822,26.6641,"NOS-4181644"
"312","Jan.Mayen",38,0.999999999816282,0.993491083298062,25.2781,"NOS-4181645"
"313","Jan.Mayen",39,1.00000000005639,0.991254477003325,24.7938,"NOS-4181646"
"314","Jan.Mayen",4,0.999999999876081,0.993089970205978,26.1087,"NOS-4181604"
"315","Jan.Mayen",40,1.00000000000682,0.991092915473606,25.414,"NOS-4181647"
"316","Jan.Mayen",41,1.00000000011755,0.993173997933664,24.601,"NOS-4181650"
"317","Jan.Mayen",42,1.00000000016144,0.990363548639091,25.3984,"NOS-4181651"
"318","Jan.Mayen",43,1.00000000054297,0.989505109389642,23.8736,"NOS-4181654"
"319","Jan.Mayen",44,1.00000000016325,0.994592955498144,25.6435,"NOS-4181655"
"320","Jan.Mayen",45,0.999999999824013,0.993920007831894,26.0886,"NOS-4181657"
