"","population","individual","tracking_year","b","c","exposure_score","CI_lower","CI_upper"
"187","Iceland","ISR.339229",2019,1.00000000031605,0.995809669504379,24.6953,20.6424575,25.4516225
"188","Iceland","ISR.339230",2014,1.00000000000182,0.997985073737562,25.7989,20.6424575,25.4516225
"189","Iceland","ISR.339231",2015,1.00000000001819,0.99940876303249,22.6273,20.6424575,25.4516225
"190","Iceland","ISR.339231",2016,0.99999999989177,0.99454121434799,24.9241,20.6424575,25.4516225
"191","Iceland","ISR.339231",2017,0.999999999939973,0.994685066372279,24.7619,20.6424575,25.4516225
"192","Iceland","ISR.339231",2018,1.00000000011914,0.99545606066185,24.4831,20.6424575,25.4516225
"193","Iceland","ISR.339231",2019,1.00000000010277,1.00332561959423,25.227,20.6424575,25.4516225
"194","Iceland","ISR.339233",2015,0.999999999974989,0.998395932967343,24.0632,20.6424575,25.4516225
"195","Iceland","ISR.339233",2016,0.999999999738066,0.99675196771082,23.5399,20.6424575,25.4516225
"196","Iceland","ISR.339233",2017,0.999999999939746,0.997593894107986,23.6205,20.6424575,25.4516225
"197","Iceland","ISR.339233",2018,0.999999999914735,0.997843735352758,23.5241,20.6424575,25.4516225
"198","Iceland","ISR.339234",2015,1.00000000006003,0.998727837631886,24.6303,20.6424575,25.4516225
"199","Iceland","ISR.339234",2016,1.00000000012369,0.997607605697665,24.161,20.6424575,25.4516225
"200","Iceland","ISR.339234",2017,0.999999999782631,0.997000310755717,23.796,20.6424575,25.4516225
"201","Iceland","ISR.339234",2018,1.0000000000191,1.00028001075379,24.3517,20.6424575,25.4516225
"202","Iceland","ISR.339234",2019,1.00000000010732,0.999034415620801,24.5528,20.6424575,25.4516225
"203","Iceland","ISR.339234",2020,1.00000000000409,0.998548016802532,24.6989,20.6424575,25.4516225
"204","Iceland","ISR.339235",2015,0.999999999948614,0.996173447460489,23.4128,20.6424575,25.4516225
"205","Iceland","ISR.339235",2016,0.999999999951342,0.997697456100847,23.7917,20.6424575,25.4516225
"206","Iceland","ISR.339235",2017,1.00000000003547,0.995234132061245,22.9168,20.6424575,25.4516225
"207","Iceland","ISR.339235",2018,0.999999999857209,0.995502374264896,25.011,20.6424575,25.4516225
"208","Iceland","ISR.339235",2019,0.99999999973079,0.996207270557082,22.8282,20.6424575,25.4516225
"209","Iceland","ISR.339237",2016,1.00000000015962,0.997000035792421,23.6342,20.6424575,25.4516225
"210","Iceland","ISR.339238",2016,1.00000000010232,0.996525788223401,24.2424,20.6424575,25.4516225
"211","Iceland","ISR.339238",2017,0.999999999953161,0.998642120381048,24.3583,20.6424575,25.4516225
"212","Iceland","ISR.339238",2018,0.999999999989541,0.999929870065083,23.7589,20.6424575,25.4516225
"213","Iceland","ISR.339238",2019,0.999999999861302,1.00129546677562,23.6911,20.6424575,25.4516225
"214","Iceland","ISR.339239",2016,0.999999999854481,0.99629628909594,26.257,20.6424575,25.4516225
"215","Iceland","ISR.339240",2016,0.999999999750798,0.995427914879986,25.5224,20.6424575,25.4516225
"216","Iceland","ISR.339240",2017,0.999999999955662,0.996100127944028,25.0198,20.6424575,25.4516225
"217","Iceland","ISR.339240",2018,0.999999999939519,0.996981746166892,25.3252,20.6424575,25.4516225
"218","Iceland","ISR.339240",2019,0.999999999899956,0.994550351165913,25.4207,20.6424575,25.4516225
"219","Iceland","ISR.339240",2020,0.999999999827651,0.995178989784906,25.135,20.6424575,25.4516225
"220","Iceland","ISR.339242",2016,1.00000000027921,0.998222607412423,23.2533,20.6424575,25.4516225
